"category","value","label"
"hash_sha256","6ca7a458985350ac082a9c9820d7f8d39128a4c4bda2f5d32f169a45b7b22bc6","MobaXterm_v26.1.exe" "hash_sha256","6ae334ce60d1a9b7fb96d1d0d0eda5ec7c2c31d3f0cf3e4d7e3056504d50043d","WebEx_Client.exe" "hash_sha256","1a01ad25712d306f27f526332fdccf959f2de53207b54e4e80f60faa804d6cb6","FaceitInstaller_x64.exe" "hash_sha256","ddcf66ecc61dc6b8cd36748d284d8cb45a470201b5373dd2bfc47700c7da32e1","dbeaver-ce-windows-x86_64.exe" "hash_sha256","603fd9724de346a06e00c1b8502c2ac1180812a18bbf30032dab8d469e5c18e1","dbeaver_ce_windows_x86_64.exe" "hash_sha256","f4491736743a16f1278b8ba01649ee93343764e35ae5e1c0d5e0c0e1d7e32c14","Zoom Installer" "hash_sha256","2c7a99f137efd718f89cf8b260379c99af89ea1939568df09314918f2c5999a3","HTA" "hash_sha256","5b9bf7957a9f8869c87ace1a6d76b48e2623073e72739ad0636b5dfa4bb2e0c3","HTA" "hash_sha256","7dc77a5abab119960fbe42b1535c957020cce1b8e0a3cf58d4eddc51b5bf9940","HTA" "hash_sha256","36e3838d07978f49ebe6546d57d2f311b8d6566558bcd58448e921c988cc346a","HTA" "hash_sha256","575ce92c473e6d47810321e309a4e29dd7f52f4152526b0bdca80f54b53aed2f","HTA" "hash_sha256","964256d3259b6e0c701ec04116c45cf0ec381c1c209dc29b09a7930cd7a4810b","HTA" "hash_sha256","a6821c7e9bfe2e6af0f690d906ec6a26161e2198c256fb60f3b4731c317f3ad9","HTA" "hash_sha256","a32ac345e39cb7606322e2155bd7b4d6941c1678619e48d1f14d9301ee53e6c0","Win_Batch" "hash_sha256","2751281d3800d82ecd3fad7c1d2293f3b947875a343b0672b4f4024a261165d2","Plugins.7z" "hash_sha256","47dedb08385449d48d8b6543030310317c92cddafa25e14ee0cb9a32d53ced5c","Python_Loader.py" "hash_sha256","162e436f18fe6099c57855c8d63fd747493624e87702dc749b242eb9a6b758ca","Starland RAT" "hash_sha256","451ac8ca34d5bcdfe476465f69eb517b2608f267c7e8d69f8ef36197a6f1d949","Stage-1-obfuscated-1.ps1" "hash_sha256","365024336c7681ac0854321ac6c140a245b9593285da02d2a590124cdc592370","Stage-1-obfuscated-2.ps1" "hash_sha256","a080b5380ccc8fc40b24c02151d305efc32d931dc547881e01a2e6f2b070c7dc","Stage-1-obfuscated-3.ps1" "hash_sha256","17e41d66ebfd56edc960f58f4285697ceceaa812514bb15092672c747979896e","Stage-1.ps1" "hash_sha256","f8da52ff98e66b137b5d31908f0a5d0fa1eb446034337f8bba3d5bba60f586be","Stage-2.ps1" "hash_sha256","d52540621dec5ed56cac8532f0e4fe10a7575c3e17e984f59646909fa587dd35","WLDR-agent-payload.ps1" "hash_sha256","a59742d3086924c5f511d248df01601bfbf723359590fb3f3ba355f2792cc455","PS-Stage-3-JSON.json" "hash_sha256","2a27b3415114b874da295c19cce5227a8b8d9525cc2da331034a1f45528eecae","ShellcodeX64-starlandfox.bin" "hash_sha256","1b46f761719dce44baa2d7b417c5214fc41c080f7f9ba485e7e489d949097f1f","ShellcodeX32-x32remka.bin" "hash_sha256","896185a89bd7eb0520b03fdcfb8db0be98b43cf15f14041d73b23d3988c1bcab","CastleStealer" "hash_sha256","a1835d333ac3db961a8ff1f4864e3c10a6f73a872c040599091390a009ac7804","remcosRAT" "domain","eorthopaedics.com","domain list" "domain","sastoro.com","domain list" "domain","zynaris.io","domain list" "domain","alphabitcapital.info","domain list" "domain","niggerdemon.in","domain list" "domain","web-devtools.com","domain list" "domain","aipythondevs.com","domain list" "domain","windowscreenrepairnearme.com","domain list" "ip","104.248.233.104","ip list" "ip","192.81.216.250","ip list" "ip","74.114.119.201","ip list" "ip","178.255.126.39","ip list" "ip","193.149.176.254","ip list" "ip","185.238.191.234","ip list" "url","https://eorthopaedics.com/feed/note","embedded link" "url","https://web-devtools.com/starlandfox","embedded link" "url","https://web-devtools.com/x32remka","embedded link" "url","https://web-devtools.com/dopfile","embedded link" "url","https://web-devtools.com/file.zip","embedded link" "url","https://eorthopaedics.com/feed/cew78zwvd2/","embedded link" "url","https://eorthopaedics.com/feed/gnsmetadyx54/","embedded link" "url","https://sastoro.com/alpha/nrpilqjnut/","embedded link" "url","https://sastoro.com/alpha/dpyb8w3ycih8/","embedded link" "url","https://windowscreenrepairnearme.com/command","embedded link"
"hash_sha256","633d4cbd496b1094495da89a64f5e6c31a0f6d4d1488411db5b0cba1cfe42001","GigaWiper backdoor"
"hash_sha256","ce9ad5f6c12019f4aae5b189bd8ddf5bb09e75b06a0a587b25a855c65948c913","GigaWiper backdoor"
"hash_sha256","f622ed85ef31ad4ab973f4e74524866fe1bb44f0965ad2b2ad796cd657a05bfd","GigaWiper backdoor"
"hash_sha256","9706a192e2c1a1faaf0a521daf31c2af60ff4590e3f47bbb4abc227f42af0683","GigaWiper backdoor"
"hash_sha256","3c30deb6556a94cfb84ae51798f4aecfae8c7358e55fdb321c5f2376579631cd","GigaWiper backdoor"
"hash_sha256","440b5385d3838e3f6bc21220caa83b65cd5f3618daea676f271c3671650ce9a3","GigaWiper backdoor"
"hash_sha256","12c39f052f030a77c0cd531df86ad3477f46d1287b8b98b625d1dcf89385d721","GigaWiper backdoor"
"hash_sha256","db41e0da7ab3305be8d9720769c6950b4dc1c1984ef857d3310eb873a0fc7674","GigaWiper backdoor"
"ip","185.182.193.21","GigaWiper backdoor"
"ip","212.8.248.104","GigaWiper backdoor"
"domain","pamconj.com","public"
"domain","dashboard-bl.pamconj.com","public"
"domain","spx.pamconj.com","public"
"domain","clear90489058903-document.workers.dev","public"
"domain","917bedb0-554e-a8b9-79f1-docviewer.clear90489058903-document.workers.dev","public"
"domain","321a1392-939d-3bf5-4040-docviewer.clear90489058903-document.workers.dev","public"
"domain","98c4c82e-2d81-0837-e3d6-docviewer.clear90489058903-document.workers.dev","public"
"domain","112838d8-9a75-2e90-d63b-docviewer.clear90489058903-document.workers.dev","public"
"domain","aquaclaude-09494-9099403-docviewer.clear90489058903-document.workers.dev","public"
"domain","e5469cec-124a-c84f-abaa-docviewer.clear90489058903-document.workers.dev","public"
"domain","50a201fd-dd2d-cf72-5fa6-onedrive.clear90489058903-document.workers.dev","public"
"domain","reynoldsjace5.workers.dev","public"
"domain","50a201fd-dd2d-cf72-5fa6-adobe2.reynoldsjace5.workers.dev","public"
"hash_sha1","c3334d47197d7f88573688b352cb884d78d2d57e","public"
"url","https://5zfna.clt.in.net","public"
"url","https://grar.letsrockscgx02.net/api/generate?lure=Q3lstpWsH48","public"
"url","https://fdwkiwgmop.reliabletechempower.de/api/generate?lure=su-v7_Zh2HY","public"
"url","https://pbky.bluefoodtruths.xyz/api/generate?lure=XWiOriGViQM","public"
"url","https://grar.letsrockscgx02.net/api/generate?lure=jbJi64mW_18","public"
"url","https://grar.letsrockscgx02.net/api/generate?lure=gseyoiKF02o","public"
"url","https://pypw.storystartergenerator.xyz/api/generate?lure=ir85gziBgE0","public"
"url","https://mwhi48ifb8.strongbrandstrust.de/api/generate?lure=pWU2nATwm3g","public"
"url","https://jcw6028duv.efficiencyframeworks.de/api/generate?lure=NJytIoMRXoE","public"
"hash_sha256","6a7a8aa91109c25d57fe2ca71c150ca09afc1bf10c98376adf959dbc91010394","public"
"domain","5zfna.cloudhost.in.net","public"
"ip","77.90.42.187","public"
"hash_md5","48220a3a4c72317ae0fbb08e255b8350","public"
"hash_md5","4cba27111c5fca7a1ae78566de2df5b3","public"
"hash_md5","a7704fbccaeb78678a5f94714993567c","public"
"hash_md5","aa579d5f062f02d9ff76910560bb312c","public"
"hash_md5","f8c06e955718639ba9ffdd4265965593","public"
"domain","gnpnia.lat","public"
"domain","jnhwzs.fyi","public"
"hash_sha256","92ff08773995ebc8d55ec4b8e1a225d0d1e51efa4ef88b8849d0071230c9645a","public"
"hash_sha256","617b67a8e1210e4fc87c92d1d1da45a2f311c08d26e89b12307cf583c900d101","public"
"hash_sha256","fcb81618bb15edfdedfb638b4c08a2af9cac9ecfa551af135a8402bf980375cf","public"
"domain","sfrclak.com","public"
"ip","142.11.206.73","public"
"url","https://ijels.com","public"
"domain","env-check.daemontools.cc","public"
"ip","38.180.107.76","public"
"url","https://deltapulse.app/api/unified/items","public"
"ip","34.111.179.208","public"
"//# generated","2026-05-07","iocs.txt"
